CodParcela,Parcela,N,P,K,Ca,Mg,S,Cu,Mn,Fe,Zn,B,Produção
MASS,27,50.96,6.5,19.0,1.9,2.3,1.9,15.6,28.2,249.4,39.9,,3694.6
MASS,29,56.00,6.9,23.5,2.6,2.5,2.2,14.9,31.9,199.6,40.7,,4226.9
MASS,30,52.08,6.3,23.0,2.4,2.4,2.6,15.9,28.3,216.6,43.3,,3732.7
MASS,31,52.08,6.4,24.6,2.3,2.3,2.7,15.2,32.8,109.6,43.2,,4014.6
MASS,32,61.04,6.2,21.0,2.2,2.8,1.9,16.6,29.4,182.3,42.4,,3676.3
MASS,33,54.04,6.2,20.5,2.2,3.0,2.6,16.7,30.8,141.0,41.8,,3767.5
MASS,34,56.28,5.9,24.6,2.3,2.3,2.4,15.9,29.4,186.7,43.4,,4054.4
MASS,36,58.80,6.2,19.5,1.9,2.2,3.0,17.3,33.5,136.6,46.3,,4125.7
MASS,37,62.44,6.8,22.0,2.6,2.6,2.3,15.5,30.4,139.4,41.9,,3941.7
MASS,38,56.00,6.1,24.6,2.4,2.6,1.9,15.5,27.8,128.3,40.2,,3855.4
MASS,40,54.32,6.9,23.5,2.6,2.3,2.9,16.2,34.2,120.3,46.5,,3142.3
MASS,41,51.52,6.7,22.0,2.3,2.4,2.7,16.1,30.0,289.1,42.1,,3653.1
MASS,42,67.76,6.1,19.0,2.4,2.4,2.5,16.2,29.9,130.5,41.5,,3742.6
MASS,43,47.32,5.5,23.0,2.2,2.5,1.8,15.3,27.4,217.6,39.1,,4082.6
MASS,44,29.96,4.9,24.6,2.6,2.4,3.1,17.8,34.9,128.8,47.6,,4031.2
MASS,45,50.96,6.4,27.6,2.8,2.2,2.5,16.9,32.1,145.1,44.8,,3346.3
MASS,47,54.88,5.6,21.5,2.8,2.6,2.4,16.0,31.8,99.7,43.1,,3135.7
MASS,48,49.84,5.9,20.5,2.2,2.7,1.8,15.5,29.1,145.0,39.6,,3868.7
EU,1,59.36,5.7,24.6,2.5,2.7,2.6,5.9,29.2,133.4,19.2,36.5,3933.3
EU,2,49.28,4.7,25.1,2.5,3.0,2.2,6.6,27.1,89.7,18.7,39.5,3959.9
EU,3,52.64,4.6,24.6,2.5,2.9,2.1,5.4,26.3,90.9,18.3,40.7,3759.2
EU,4,37.80,5.2,24.6,2.5,2.7,2.4,5.9,26.0,107.1,20.5,42.0,3712.8
EU,5,52.64,5.8,25.1,2.5,2.5,2.5,5.9,24.6,134.9,18.6,41.0,3462.3
EU,6,55.44,5.6,23.0,2.2,2.5,2.3,5.0,23.6,82.3,16.3,38.7,3893.5
EU,7,51.52,5.2,25.1,2.6,2.8,2.6,5.3,24.2,87.4,16.7,40.7,3417.6
EU,8,54.88,5.0,23.5,2.1,2.7,2.1,5.3,24.4,79.5,16.8,39.3,3956.5
EU,9,55.72,5.8,25.6,2.7,3.0,2.6,5.1,22.6,85.7,15.5,38.5,3563.5
EU,10,42.00,4.4,22.0,2.7,2.6,2.3,5.7,23.1,106.9,16.6,46.7,3477.3
EU,11,52.36,5.3,22.5,3.0,3.0,2.6,6.4,25.4,100.6,20.2,48.5,3510.4
EU,12,52.36,3.9,24.1,2.5,2.8,2.3,5.3,23.9,80.2,16.3,41.5,3755.9
EU,13,55.72,5.2,23.5,2.5,2.6,2.1,5.3,25.1,124.5,19.0,45.3,3886.9
EU,14,52.36,5.4,23.5,2.9,2.7,2.3,5.6,24.6,119.0,17.8,42.6,3830.5
EU,15,57.96,4.8,23.5,2.7,3.0,2.0,4.6,22.6,78.0,14.9,41.4,4318.1
EU,16,52.92,5.7,20.0,2.7,3.0,2.1,5.4,22.9,87.3,15.7,40.2,3893.5
EU,17,57.12,5.7,23.5,2.5,3.0,2.0,5.7,24.4,126.1,17.4,38.3,4279.9
EU,18,57.96,5.2,24.1,2.5,2.7,2.3,4.5,24.6,70.2,18.0,41.0,4092.5
EU,19,54.32,5.4,24.6,2.9,2.7,2.7,4.5,24.9,71.2,17.7,45.7,3379.4
EU,20,56.00,5.3,24.6,2.6,3.0,2.1,4.8,23.5,72.1,18.8,41.4,4085.9
EU,21,56.56,5.0,22.5,2.6,2.7,2.5,5.1,24.5,96.3,18.0,39.8,3966.5
